id,full_name,owner,name,bleu,rouge1,rouge2,rougeL,rougeLsum,chrf,bertscoref1,gte,avg_gte_match,uncovered_golden,gen_files_count,gen_empty_files_count,gen_dirs_count,gen_empty_dirs_count,gen_file_tree_depth,gen_has_root_dir,golden_files_count,golden_empty_files_count,golden_dirs_count,golden_empty_dirs_count,golden_file_tree_depth,golden_has_root_dir
1,AdamBien/aws-lambda-cdk-plain,AdamBien,aws-lambda-cdk-plain,8.549355505481238e-25,0.03338391502276176,0.018227848101265823,0.030349013657056147,0.03338391502276176,1.9244279812573766,0.8026136159896851,0.9017512798309326,0.9374232093493143,0.7857142857142857,3,1,3,0,10,True,15,0,19,0,12,False
35,binxio/cfn-lint-plugin,binxio,cfn-lint-plugin,2.7535743506695184e-28,0.019635343618513323,0.00608044901777362,0.013557737260402058,0.019635343618513323,1.1917239165350377,0.7526061534881592,0.891593337059021,0.954148530960083,0.9,2,0,5,0,12,True,21,0,17,0,13,False
45,ChristianAA/selenium-springboot-example,ChristianAA,selenium-springboot-example,4.259137498000612e-25,0.029551451187335095,0.01901743264659271,0.027440633245382588,0.029551451187335095,1.8704961145179944,0.8323018550872803,0.8852795362472534,0.9694632887840271,0.9444444444444444,1,0,2,0,9,True,19,0,13,0,12,False
57,dadoonet/elasticsearch-java-client-demo,dadoonet,elasticsearch-java-client-demo,6.861056031825699e-80,0.01433311214333112,0.004778972520908005,0.010351692103516922,0.01433311214333112,0.654428560347534,0.7970221042633057,0.7953540086746216,0.9393229186534882,0.8,2,0,5,2,10,True,11,0,12,0,13,False
63,datumbox/datumbox-framework-examples,datumbox,datumbox-framework-examples,,,,,,,,,nan,1.0,0,0,3,1,10,True,23,0,13,0,11,False
77,Esri/java-maven-starter-project,Esri,java-maven-starter-project,2.95550204715279e-80,0.008730309356614159,0.0037972280235428132,0.0064528373505409,0.008730309356614159,0.47018304509747644,0.7982897758483887,0.7611689567565918,0.9245401620864868,0.75,2,0,10,3,12,True,12,0,9,0,11,False
82,flashvayne/chatgpt-spring-boot-starter,flashvayne,chatgpt-spring-boot-starter,0.0,0.007888509071785432,0.002104709287029729,0.0052590060478569555,0.007888509071785432,0.3461434589089587,0.7646557688713074,0.8449817299842834,0.9433143734931946,0.9615384615384616,1,0,8,3,12,True,26,0,19,0,14,False
136,jonashackt/spring-reactive-redis-messaging,jonashackt,spring-reactive-redis-messaging,1.5779116228043231e-10,0.08023483365949119,0.06366307541625857,0.07045009784735812,0.08023483365949119,5.337513384331767,0.7991184592247009,0.8683634996414185,0.9635465741157532,0.8461538461538461,2,0,4,2,10,True,14,1,18,0,12,False
176,melix/gradle-tapi-demo-artifacts,melix,gradle-tapi-demo-artifacts,1.3414996605858615e-48,0.01560254567850544,0.007804477305401521,0.011496612605214536,0.01560254567850544,0.9168583869583571,0.7926798462867737,0.7749056220054626,0.9487544894218445,0.875,2,0,7,2,12,True,19,0,28,0,13,False
246,slack-samples/bolt-java-starter-template,slack-samples,bolt-java-starter-template,,,,,,,,,nan,1.0,0,0,2,1,9,True,28,0,19,0,10,False
