id,full_name,owner,name,time,total_tokens,prompt_tokens,completion_tokens,api_calls_count,api_failed_calls_count,llm_calls_count,langsmith_project_link
2,alidehkhodaei/notification-example,alidehkhodaei,notification-example,13.684671878814695,5963,5495,468,5,0,7,https://smith.langchain.com/public/14ed9c3f-8038-4b26-a783-43c3107253a8/r
10,davidvavra/showkase-screenshot-tests,davidvavra,showkase-screenshot-tests,11.926727056503296,5620,5071,549,6,0,6,https://smith.langchain.com/public/204a10d2-e2f8-492b-9b5a-6bd47a2f1792/r
14,Foso/KotlinCompilerPluginExample,Foso,KotlinCompilerPluginExample,17.999207019805908,8282,7797,485,7,0,9,https://smith.langchain.com/public/3d025798-9bc3-4812-b07d-a136fecbceab/r
33,Kotlin/kmm-basic-sample,Kotlin,kmm-basic-sample,9.388354063034058,3753,3168,585,3,0,4,https://smith.langchain.com/public/59e49682-0bd6-4802-b76e-25d2ab62f277/r
36,kotlin-orm/ktorm-example-spring-boot,kotlin-orm,ktorm-example-spring-boot,16.00185990333557,6598,6018,580,5,0,7,https://smith.langchain.com/public/96c743f2-5d06-47f0-af34-6aec87f5e879/r
39,MortezaNedaei/RTMP-ExoPlayer,MortezaNedaei,RTMP-ExoPlayer,16.399184226989746,8301,7708,593,8,0,9,https://smith.langchain.com/public/22aa36d6-5275-4b56-8b9f-76d60c66c089/r
42,mvysny/vaadin-kotlin-pwa,mvysny,vaadin-kotlin-pwa,15.932732105255129,9556,8975,581,8,0,10,https://smith.langchain.com/public/3f3be4a7-1c8c-4747-9aa7-cc28e7b2a1ed/r
45,nomisRev/ktor-k8s-zero-downtime,nomisRev,ktor-k8s-zero-downtime,94.18101000785828,18531,17941,590,21,1,21,https://smith.langchain.com/public/a9e6cdbd-238e-4cc9-b911-d16285566b03/r
50,PleahMaCaka/forge-kotlin-template,PleahMaCaka,forge-kotlin-template,17.389729738235474,10932,10244,688,9,0,10,https://smith.langchain.com/public/62f6febc-cb46-475e-8e7e-6fa5c784dac0/r
67,ZebraDevs/DataWedge-Flutter-Demo,ZebraDevs,DataWedge-Flutter-Demo,27.01672077178955,15469,14910,559,19,0,16,https://smith.langchain.com/public/1820e04d-3505-41b4-bc48-4339beed0970/r
