id,full_name,owner,name,bleu,rouge1,rouge2,rougeL,rougeLsum,chrf,bertscoref1,gte,avg_gte_match,uncovered_golden,gen_files_count,gen_empty_files_count,gen_dirs_count,gen_empty_dirs_count,gen_file_tree_depth,gen_has_root_dir,golden_files_count,golden_empty_files_count,golden_dirs_count,golden_empty_dirs_count,golden_file_tree_depth,golden_has_root_dir
6,aaronleetw/flask-boilerplate,aaronleetw,flask-boilerplate,9.989429303148116e-10,0.07859217495301556,0.04682960177747393,0.05125576627370579,0.07859217495301556,4.747428953921342,0.8024665117263794,0.866723895072937,0.9434758765356881,0.7619047619047619,7,0,5,2,10,True,29,1,12,0,7,False
14,adilkhash/django-telegram-auth-example,adilkhash,django-telegram-auth-example,0.0,0.005964214711729622,0.003984063745019919,0.005964214711729622,0.005964214711729622,0.31189063194645317,0.747544527053833,0.8661626577377319,0.9449529945850372,0.8,2,1,6,4,10,True,13,1,4,0,6,False
158,Binacy/discord-http-interaction-bot,Binacy,discord-http-interaction-bot,4.855030347795168e-09,0.07244995233555768,0.008587786259541985,0.03050524308865586,0.07054337464251668,3.5529254812935167,0.7583631277084351,0.8600048422813416,0.9332974255084991,0.8333333333333334,2,0,2,0,9,True,13,0,4,0,7,False
440,ido-ran/google-photos-api-python-quickstart,ido-ran,google-photos-api-python-quickstart,1.811527258791056e-42,0.02032085561497326,0.0139186295503212,0.0160427807486631,0.02032085561497326,1.0678175497354485,0.7475808262825012,0.7386861443519592,0.9722444415092468,0.6666666666666666,1,0,4,2,10,True,4,0,1,0,5,False
565,m0kr4n3/fastapi_project_template,m0kr4n3,fastapi_project_template,9.310840703970478e-86,0.006380368098159509,0.0029462312791554133,0.00588957055214724,0.006380368098159509,0.39522781863601936,0.7694186568260193,0.8520557880401611,0.9442506432533264,0.9714285714285714,1,0,5,2,10,True,38,0,11,0,9,False
591,MaxHalford/taxi-demo-rp-mz-rv-rd-st,MaxHalford,taxi-demo-rp-mz-rv-rd-st,0.0,0.008005651047798445,0.0018845700824499413,0.006592889098186956,0.008005651047798445,0.4144091204412982,0.7919088006019592,0.9337491989135742,0.9417911767959595,0.9565217391304348,1,0,5,2,10,True,28,0,6,0,6,False
592,mayflower/cloudbot,mayflower,cloudbot,8.512553996596234e-69,0.008408714485921773,0.002038995794571174,0.005860619187157599,0.008153904956045356,0.46527617986339714,0.7690622806549072,0.8342199325561523,0.9265371859073639,0.8333333333333334,4,3,5,1,10,True,20,0,2,0,6,False
841,rohankishore/Spotifyte,rohankishore,Spotifyte,0.0,0.013336201333620132,0.0025823111684958036,0.009894600989460099,0.013336201333620132,0.6424823519357872,0.7673842906951904,0.7198730707168579,0.9499433040618896,0.8461538461538461,2,0,4,2,10,True,17,0,7,0,8,False
875,scivision/pybluez-examples,scivision,pybluez-examples,6.56335111677346e-13,0.06786050895381716,0.018885741265344664,0.04901036757775683,0.06597549481621112,3.6757108972223294,0.7907138466835022,0.8901102542877197,0.9477690656979879,0.5,4,0,4,2,10,True,5,0,1,0,5,False
906,slack-samples/bolt-python-starter-template,slack-samples,bolt-python-starter-template,2.5073586398437355e-18,0.046021093000958774,0.02303262955854127,0.03259827420901247,0.045062320230105465,2.0118653721577924,0.7584696412086487,0.8997953534126282,0.9522776901721954,0.9047619047619048,2,1,4,2,10,True,23,0,9,0,7,False
