id,full_name,owner,name,bleu,rouge1,rouge2,rougeL,rougeLsum,chrf,bertscoref1,gte,avg_gte_match,uncovered_golden,gen_files_count,gen_empty_files_count,gen_dirs_count,gen_empty_dirs_count,gen_file_tree_depth,gen_has_root_dir,golden_files_count,golden_empty_files_count,golden_dirs_count,golden_empty_dirs_count,golden_file_tree_depth,golden_has_root_dir
6,aaronleetw/flask-boilerplate,aaronleetw,flask-boilerplate,4.475148315735331e-06,0.11800100284138393,0.07155993980939643,0.05649339796088918,0.11800100284138393,7.282016881228458,0.794906735420227,0.8733643293380737,0.952638578414917,0.7619047619047619,11,2,6,2,10,True,29,1,12,0,7,False
14,adilkhash/django-telegram-auth-example,adilkhash,django-telegram-auth-example,0.0,0.007944389275074478,0.003980099502487562,0.007944389275074478,0.007944389275074478,0.32109150243100637,0.7488917708396912,0.8427994251251221,0.9420473575592041,0.8,12,8,7,2,11,True,13,1,4,0,6,False
158,Binacy/discord-http-interaction-bot,Binacy,discord-http-interaction-bot,1.3264389131655073e-07,0.0951035781544256,0.02544769085768143,0.05555555555555556,0.09322033898305085,4.310653722763424,0.7696452736854553,0.8979143500328064,0.9366196841001511,0.75,5,0,5,1,10,True,13,0,4,0,7,False
440,ido-ran/google-photos-api-python-quickstart,ido-ran,google-photos-api-python-quickstart,0.0005961242841424253,0.12088452088452087,0.06099360550909986,0.0687960687960688,0.12088452088452087,9.34823492062286,0.7827656269073486,0.7815420031547546,0.9544887940088908,0.3333333333333333,3,0,3,0,10,True,4,0,1,0,5,False
565,m0kr4n3/fastapi_project_template,m0kr4n3,fastapi_project_template,5.627831380442411e-13,0.06407214048410062,0.02896486229819563,0.03417180825818699,0.06407214048410062,3.180642702001329,0.8328686356544495,0.9197568893432617,0.9418777301907539,0.8,8,0,8,1,10,True,38,0,11,0,9,False
591,MaxHalford/taxi-demo-rp-mz-rv-rd-st,MaxHalford,taxi-demo-rp-mz-rv-rd-st,1.2631297271395101e-14,0.05431309904153354,0.01735159817351598,0.032405294386125064,0.05340027384755819,3.3911086559042083,0.7786267995834351,0.9272414445877075,0.9298419132828712,0.782608695652174,8,0,4,1,9,False,28,0,6,0,6,False
592,mayflower/cloudbot,mayflower,cloudbot,5.759185800279996e-16,0.025100401606425703,0.0037660055234747677,0.013303212851405621,0.025100401606425703,1.6422788710739742,0.7775029540061951,0.8218128085136414,0.9206199944019318,0.8333333333333334,7,1,5,1,10,True,20,0,2,0,6,False
841,rohankishore/Spotifyte,rohankishore,Spotifyte,8.475442895766696e-17,0.0335100742311771,0.014852535539995756,0.022057264050901377,0.0335100742311771,2.1169647538521303,0.7577623724937439,0.7141420245170593,0.9487113157908121,0.7692307692307693,4,0,5,2,10,True,17,0,7,0,8,False
875,scivision/pybluez-examples,scivision,pybluez-examples,4.395429683282836e-09,0.06597549481621112,0.024551463644948063,0.05089538171536287,0.06597549481621112,4.274129178625458,0.7698879837989807,0.8832791447639465,0.940109372138977,0.25,3,0,5,2,10,True,5,0,1,0,5,False
906,slack-samples/bolt-python-starter-template,slack-samples,bolt-python-starter-template,1.1119770946539774e-07,0.12179487179487179,0.06599450045829514,0.07692307692307693,0.12179487179487179,6.142851928099525,0.7786173820495605,0.9281390905380249,0.9624527931213379,0.8571428571428571,6,2,5,1,10,True,23,0,9,0,7,False
