id,full_name,owner,name,bleu,rouge1,rouge2,rougeL,rougeLsum,chrf,bertscoref1,gte,avg_gte_match,uncovered_golden,gen_files_count,gen_empty_files_count,gen_dirs_count,gen_empty_dirs_count,gen_file_tree_depth,gen_has_root_dir,golden_files_count,golden_empty_files_count,golden_dirs_count,golden_empty_dirs_count,golden_file_tree_depth,golden_has_root_dir
1,AdamBien/aws-lambda-cdk-plain,AdamBien,aws-lambda-cdk-plain,0.006994867361986814,0.2608695652173913,0.17054945054945056,0.13790074659639878,0.2608695652173913,17.79638872893813,0.7768258452415466,0.8948142528533936,0.9496903717517853,0.7142857142857143,4,0,13,4,12,True,15,0,19,0,12,False
35,binxio/cfn-lint-plugin,binxio,cfn-lint-plugin,8.628573464777201e-26,0.03812180381218038,0.023255813953488372,0.03161320316132032,0.03812180381218038,2.32528508529362,0.7602261900901794,0.8755353689193726,0.9637888520956039,0.8,4,0,7,0,14,False,21,0,17,0,13,False
45,ChristianAA/selenium-springboot-example,ChristianAA,selenium-springboot-example,0.01967976825276364,0.29482071713147406,0.2108994240141781,0.22841965471447542,0.29482071713147406,21.720371994361386,0.8531457781791687,0.8978877067565918,0.9585160272462028,0.6666666666666666,7,0,8,1,11,False,19,0,13,0,12,False
57,dadoonet/elasticsearch-java-client-demo,dadoonet,elasticsearch-java-client-demo,1.1251222503704235e-14,0.050415800415800405,0.028593709383935535,0.036902286902286904,0.050415800415800405,3.454794081096029,0.8027085065841675,0.7880781888961792,0.9585264623165131,0.8,3,0,9,1,15,False,11,0,12,0,13,False
63,datumbox/datumbox-framework-examples,datumbox,datumbox-framework-examples,9.645157001296328e-36,0.01654107700790296,0.007169117647058824,0.012497702628193347,0.01617349751883845,1.0666715462620822,0.8039137125015259,0.7991877794265747,0.938175618648529,0.9473684210526315,3,1,8,0,14,False,23,0,13,0,11,False
77,Esri/java-maven-starter-project,Esri,java-maven-starter-project,2.5323582820946366e-06,0.11322106771766392,0.09354838709677418,0.09530634181297026,0.11322106771766392,8.166981180090524,0.7963650226593018,0.7854354381561279,0.962371438741684,0.75,2,0,11,2,15,True,12,0,9,0,11,False
82,flashvayne/chatgpt-spring-boot-starter,flashvayne,chatgpt-spring-boot-starter,1.2422078277726257e-08,0.09882116879859544,0.07377666248431619,0.07925758715826435,0.09882116879859544,6.09419724965231,0.8430166244506836,0.909442663192749,0.9521653652191162,0.8076923076923077,5,0,8,0,14,False,26,0,19,0,14,False
136,jonashackt/spring-reactive-redis-messaging,jonashackt,spring-reactive-redis-messaging,0.004118768774743697,0.24977934686672548,0.2040636042402827,0.2118270079435128,0.24889673433362755,19.187220706927786,0.8142562508583069,0.8829299211502075,0.9568423728148142,0.6153846153846154,6,0,8,2,11,False,14,1,18,0,12,False
176,melix/gradle-tapi-demo-artifacts,melix,gradle-tapi-demo-artifacts,1.751217608934921e-47,0.015182601559294214,0.0069786535303776685,0.012310217480508824,0.015182601559294214,0.9484968600357897,0.7897840738296509,0.7682517766952515,0.950439453125,0.875,2,0,6,1,11,False,19,0,28,0,13,False
246,slack-samples/bolt-java-starter-template,slack-samples,bolt-java-starter-template,8.340574365933502e-10,0.08133848133848134,0.05768735513778006,0.06074646074646075,0.08133848133848134,4.630321265469558,0.841054379940033,0.8989313244819641,0.9625559449195862,0.9259259259259259,2,0,8,0,15,False,28,0,19,0,10,False
