id,full_name,owner,name,bleu,rouge1,rouge2,rougeL,rougeLsum,chrf,bertscoref1,gte,avg_gte_match,uncovered_golden,gen_files_count,gen_empty_files_count,gen_dirs_count,gen_empty_dirs_count,gen_file_tree_depth,gen_has_root_dir,golden_files_count,golden_empty_files_count,golden_dirs_count,golden_empty_dirs_count,golden_file_tree_depth,golden_has_root_dir
2,alidehkhodaei/notification-example,alidehkhodaei,notification-example,1.342203767694745e-10,0.0786229355664108,0.033046311380032584,0.03861363107699465,0.07815771109560361,5.072878502034897,0.8009077906608582,0.8940956592559814,0.953899621963501,0.9032258064516129,5,2,11,3,15,True,39,0,22,0,14,False
10,davidvavra/showkase-screenshot-tests,davidvavra,showkase-screenshot-tests,1.8851123642330823e-12,0.05946398659966499,0.040636782572266446,0.038107202680067,0.05946398659966499,4.176360428433501,0.7618563175201416,0.8481687307357788,0.9476735293865204,0.9166666666666666,4,0,4,0,11,False,65,2,44,0,13,False
14,Foso/KotlinCompilerPluginExample,Foso,KotlinCompilerPluginExample,3.5998883665748e-08,0.08798283261802575,0.05974955277280859,0.06294706723891275,0.08798283261802575,6.310915676924258,0.7662824988365173,0.7655457854270935,0.9436048666636149,0.6666666666666666,9,0,13,2,14,True,28,0,35,0,12,False
33,Kotlin/kmm-basic-sample,Kotlin,kmm-basic-sample,8.91441185176488e-14,0.06013264554163596,0.03538257408226449,0.04333087693441415,0.059837877671333826,3.820376946595089,0.7928911447525024,0.7859628796577454,0.9636849098735385,0.8378378378378378,9,0,18,1,13,True,40,0,67,0,13,False
36,kotlin-orm/ktorm-example-spring-boot,kotlin-orm,ktorm-example-spring-boot,9.758851002227644e-07,0.10916534000454856,0.06552901023890785,0.073231748919718,0.10871048442119627,7.9194885380017555,0.7738284468650818,0.7786849737167358,0.9634131789207458,0.7894736842105263,6,0,9,1,14,False,21,0,15,0,12,False
39,MortezaNedaei/RTMP-ExoPlayer,MortezaNedaei,RTMP-ExoPlayer,1.115667223137894e-07,0.09707024355806566,0.05967514124293786,0.06953759265795977,0.09707024355806566,7.3575222798681255,0.8005619645118713,0.7587133049964905,0.9743486762046814,0.8518518518518519,5,0,9,1,13,False,52,0,36,0,14,False
42,mvysny/vaadin-kotlin-pwa,mvysny,vaadin-kotlin-pwa,1.806607414762113e-21,0.03910614525139665,0.022354694485842028,0.027932960893854747,0.03873370577281192,2.5071227820465425,0.7573843002319336,0.8677924871444702,0.9520443081855774,0.88,3,0,6,1,11,False,29,0,23,0,12,False
45,nomisRev/ktor-k8s-zero-downtime,nomisRev,ktor-k8s-zero-downtime,7.862523761060094e-17,0.03906594213540901,0.018216541795210813,0.024966955500073433,0.03906594213540901,2.3023549817395144,0.7843574285507202,0.7947747111320496,0.9462369203567504,0.782608695652174,6,0,4,0,11,False,34,0,16,0,11,False
50,PleahMaCaka/forge-kotlin-template,PleahMaCaka,forge-kotlin-template,6.332828149261856e-17,0.0447127207690588,0.017445761574591812,0.026380505253744687,0.0447127207690588,2.6166489489992015,0.783083438873291,0.9011430144309998,0.9501343220472336,0.875,4,0,8,2,11,False,39,0,29,0,12,False
67,ZebraDevs/DataWedge-Flutter-Demo,ZebraDevs,DataWedge-Flutter-Demo,1.8184474822067272e-05,0.14567233384853168,0.11132586006957866,0.12171561051004638,0.14567233384853168,10.416237982284184,0.7785611748695374,0.9241856336593628,0.9643912249141269,0.65,9,0,13,5,14,True,36,0,26,0,14,False
