id,full_name,owner,name,bleu,rouge1,rouge2,rougeL,rougeLsum,chrf,bertscoref1,gte,avg_gte_match,uncovered_golden,gen_files_count,gen_empty_files_count,gen_dirs_count,gen_empty_dirs_count,gen_file_tree_depth,gen_has_root_dir,golden_files_count,golden_empty_files_count,golden_dirs_count,golden_empty_dirs_count,golden_file_tree_depth,golden_has_root_dir
6,aaronleetw/flask-boilerplate,aaronleetw,flask-boilerplate,2.0914769822795192e-10,0.07312049433573635,0.048076923076923066,0.04497082046000687,0.07312049433573635,3.997733705611544,0.8027123212814331,0.88230299949646,0.9502686560153961,0.8571428571428571,6,0,5,0,10,True,29,1,12,0,7,False
14,adilkhash/django-telegram-auth-example,adilkhash,django-telegram-auth-example,0.28419007838334465,0.5745361484325016,0.44586803331197955,0.472168905950096,0.5745361484325016,50.93452214745919,0.7474125623703003,0.8749718070030212,0.9486659581844623,0.4,13,0,4,0,11,True,13,1,4,0,6,False
158,Binacy/discord-http-interaction-bot,Binacy,discord-http-interaction-bot,4.813135435806153e-06,0.1196105702364395,0.037122969837587005,0.06583217431617988,0.11868335651367641,6.644689404198978,0.7693109512329102,0.9044747948646545,0.9411529103914896,0.75,4,0,3,0,10,True,13,0,4,0,7,False
440,ido-ran/google-photos-api-python-quickstart,ido-ran,google-photos-api-python-quickstart,0.002954112263985051,0.1453320500481232,0.06551059730250482,0.08084696823869106,0.1453320500481232,10.39439471099713,0.7842435836791992,0.7698180079460144,0.95332403977712,0.3333333333333333,3,0,2,0,9,True,4,0,1,0,5,False
565,m0kr4n3/fastapi_project_template,m0kr4n3,fastapi_project_template,0.0026622612282688374,0.21172983273343213,0.09658970557085364,0.09908956171924624,0.2113063730679653,14.271884772991623,0.8359118700027466,0.8933666944503784,0.9442599654197693,0.8571428571428571,5,0,4,0,10,True,38,0,11,0,9,False
591,MaxHalford/taxi-demo-rp-mz-rv-rd-st,MaxHalford,taxi-demo-rp-mz-rv-rd-st,7.242152750892253e-09,0.09172259507829977,0.03581020590868397,0.04832214765100671,0.09038031319910515,5.361548890717187,0.7748091220855713,0.9287875294685364,0.9405843870980399,0.7391304347826086,7,0,3,0,10,True,28,0,6,0,6,False
592,mayflower/cloudbot,mayflower,cloudbot,1.8685038377370046e-16,0.023609192515383647,0.004522044969224971,0.013060404370212232,0.023358030892879567,1.647702516128832,0.7804442048072815,0.8251708745956421,0.9273938536643982,0.9166666666666666,3,0,3,1,10,True,20,0,2,0,6,False
841,rohankishore/Spotifyte,rohankishore,Spotifyte,2.8923461264583133e-19,0.033559898045879354,0.014874628134296642,0.024214103653355988,0.033559898045879354,2.0652808032817953,0.7676629424095154,0.7092902064323425,0.9470358490943909,0.7692307692307693,3,0,3,1,10,True,17,0,7,0,8,False
875,scivision/pybluez-examples,scivision,pybluez-examples,7.442676060076637e-09,0.06043437204910292,0.02270577105014191,0.04343720491029273,0.06043437204910292,3.985331854579175,0.7700209021568298,0.8786965608596802,0.9417349696159363,0.25,3,0,3,0,10,True,5,0,1,0,5,False
906,slack-samples/bolt-python-starter-template,slack-samples,bolt-python-starter-template,3.28210710611334e-08,0.11013419713095789,0.0666975451597962,0.07033780657103193,0.10920869967607588,5.419232860160675,0.7847839593887329,0.9120451807975769,0.9733311732610067,0.8571428571428571,4,0,2,0,9,True,23,0,9,0,7,False
